Latitude (decimal degrees):	41.662
Longitude (decimal degrees):	-83.612
Elevation (m):	181
Radiation database:	PVGIS-ERA5


Slope: 45 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200725:1130,0.0,36.62,1.38,11.0,20.09,0.48,0.0
20200725:1230,91.42,67.52,8.07,21.95,21.02,0.21,0.0
20200725:1330,264.8,101.75,13.67,33.13,23.35,0.14,0.0
20200725:1430,431.14,124.33,18.2,44.21,25.16,1.1,0.0
20200725:1530,624.59,126.43,23.08,54.67,26.45,1.59,0.0
20200725:1630,511.4,256.13,22.9,63.39,27.45,0.69,0.0
20200725:1730,343.52,318.28,19.97,67.91,28.24,1.1,0.0
20200725:1830,617.44,185.6,23.75,65.68,28.7,1.31,0.0
20200725:1930,401.14,143.51,16.6,58.11,28.89,0.21,0.0
20200725:2030,381.96,198.38,18.43,48.09,28.88,0.14,0.0
20200725:2130,277.3,115.04,13.75,37.16,29.38,0.55,0.0
20200725:2230,161.13,82.35,10.71,25.97,29.36,0.76,0.0
20200725:2330,12.92,35.38,5.59,14.9,29.29,0.76,0.0
20200726:0030,0.0,15.36,0.58,4.11,28.61,0.48,0.0
20200726:0130,0.0,0.0,0.0,0.0,26.54,0.97,0.0
20200726:0230,0.0,0.0,0.0,0.0,24.81,1.79,0.0
20200726:0330,0.0,0.0,0.0,0.0,23.89,2.55,0.0
20200726:0430,0.0,0.0,0.0,0.0,23.14,2.62,0.0
20200726:0530,0.0,0.0,0.0,0.0,22.54,2.62,0.0
20200726:0630,0.0,0.0,0.0,0.0,22.04,2.69,0.0
20200726:0730,0.0,0.0,0.0,0.0,22.02,2.07,0.0
20200726:0830,0.0,0.0,0.0,0.0,21.67,2.14,0.0
20200726:0930,0.0,0.0,0.0,0.0,21.31,2.21,0.0
20200726:1030,0.0,5.35,0.2,0.42,21.08,2.28,0.0
20200726:1130,0.0,35.49,1.34,10.85,21.01,2.28,0.0
20200726:1230,109.42,55.72,8.72,21.81,22.67,2.14,0.0
20200726:1330,299.42,83.04,14.34,32.99,25.16,2.48,0.0
20200726:1430,487.9,101.12,19.29,44.07,27.18,3.24,0.0
20200726:1530,605.19,120.49,22.24,54.51,28.42,3.93,0.0
20200726:1630,752.03,126.18,26.04,63.2,29.45,3.59,0.0
20200726:1730,801.62,128.21,27.25,67.69,30.53,3.38,0.0
20200726:1830,550.89,187.33,21.82,65.48,31.43,3.59,0.0
20200726:1930,477.81,167.43,19.53,57.94,31.7,3.52,0.0
20200726:2030,313.16,203.6,16.41,47.95,31.87,3.52,0.0
20200726:2130,316.0,108.05,14.86,37.03,32.06,3.79,0.0
20200726:2230,175.71,63.37,10.68,25.84,32.16,4.14,0.0
20200726:2330,13.0,33.45,5.43,14.77,31.94,4.0,0.0
20200727:0030,0.0,12.41,0.47,3.96,30.97,3.31,0.0
20200727:0130,0.0,0.0,0.0,0.0,29.35,3.31,0.0
20200727:0230,0.0,0.0,0.0,0.0,28.24,3.72,0.0
20200727:0330,0.0,0.0,0.0,0.0,27.63,4.28,0.0
20200727:0430,0.0,0.0,0.0,0.0,27.16,4.41,0.0
20200727:0530,0.0,0.0,0.0,0.0,26.83,4.41,0.0
20200727:0630,0.0,0.0,0.0,0.0,26.49,4.41,0.0
20200727:0730,0.0,0.0,0.0,0.0,26.49,5.24,0.0
20200727:0830,0.0,0.0,0.0,0.0,26.23,5.1,0.0
20200727:0930,0.0,0.0,0.0,0.0,25.87,4.83,0.0
20200727:1030,0.0,5.0,0.19,0.26,25.47,4.48,0.0
20200727:1130,0.0,33.71,1.27,10.71,25.07,4.62,0.0
20200727:1230,69.28,67.23,6.57,21.67,25.35,4.41,0.0
20200727:1330,167.34,113.65,10.2,32.86,26.23,6.07,0.0
20200727:1430,169.63,166.2,10.99,43.93,27.18,5.86,0.0
20200727:1530,316.01,203.33,16.03,54.35,27.78,5.24,0.0
20200727:1630,303.81,271.4,17.48,63.01,28.78,4.97,0.0
20200727:1730,462.28,274.83,21.79,67.47,29.49,5.03,0.0
20200727:1830,454.22,160.62,18.22,65.27,30.44,4.83,0.0
20200727:1930,243.69,191.17,13.43,57.77,28.64,4.69,0.0
20200727:2030,103.45,103.65,6.74,47.81,26.32,4.76,0.0
20200727:2130,12.9,77.03,3.1,36.89,24.86,3.66,0.0
20200727:2230,9.13,115.19,4.39,25.7,24.59,3.03,0.0
20200727:2330,0.0,51.38,1.76,14.62,25.08,3.17,0.0
20200728:0030,0.0,6.09,0.23,3.8,24.79,3.31,0.0
20200728:0130,0.0,0.0,0.0,0.0,24.37,3.66,0.0
20200728:0230,0.0,0.0,0.0,0.0,24.04,3.93,0.0
20200728:0330,0.0,0.0,0.0,0.0,23.6,3.86,0.0
20200728:0430,0.0,0.0,0.0,0.0,23.02,3.66,0.0
20200728:0530,0.0,0.0,0.0,0.0,22.08,3.38,0.0
20200728:0630,0.0,0.0,0.0,0.0,21.06,3.1,0.0
20200728:0730,0.0,0.0,0.0,0.0,20.48,3.17,0.0
20200728:0830,0.0,0.0,0.0,0.0,19.93,3.03,0.0
20200728:0930,0.0,0.0,0.0,0.0,19.32,2.9,0.0
20200728:1030,0.0,4.96,0.19,0.11,18.87,2.76,0.0
20200728:1130,0.0,33.71,1.27,10.56,18.72,2.55,0.0
20200728:1230,119.79,51.98,9.09,21.53,19.96,2.28,0.0
20200728:1330,317.25,74.94,14.62,32.72,21.96,2.55,0.0
20200728:1430,511.47,91.62,19.62,43.78,23.85,2.76,0.0
20200728:1530,681.92,98.26,23.77,54.19,25.61,2.9,0.0
20200728:1630,761.09,113.62,25.78,62.81,27.09,3.79,0.0
20200728:1730,642.66,158.77,23.38,67.24,27.86,4.41,0.0
20200728:1830,456.39,230.48,20.32,65.06,28.1,4.69,0.0
20200728:1930,564.86,146.04,21.33,57.6,28.34,5.24,0.0
20200728:2030,330.66,141.79,14.93,47.65,28.78,5.24,0.0
20200728:2130,295.14,100.12,13.73,36.75,28.61,5.1,0.0
20200728:2230,147.36,80.23,9.77,25.56,28.54,5.1,0.0
20200728:2330,13.6,32.71,5.43,14.48,27.97,4.14,0.0
20200729:0030,0.0,12.22,0.46,3.64,26.88,3.79,0.0
20200729:0130,0.0,0.0,0.0,0.0,25.4,3.59,0.0
20200729:0230,0.0,0.0,0.0,0.0,24.38,3.31,0.0
20200729:0330,0.0,0.0,0.0,0.0,23.6,3.1,0.0
20200729:0430,0.0,0.0,0.0,0.0,22.89,2.9,0.0
20200729:0530,0.0,0.0,0.0,0.0,22.27,2.97,0.0
20200729:0630,0.0,0.0,0.0,0.0,21.99,3.17,0.0
20200729:0730,0.0,0.0,0.0,0.0,22.2,3.72,0.0
20200729:0830,0.0,0.0,0.0,0.0,22.05,3.66,0.0
20200729:0930,0.0,0.0,0.0,0.0,21.85,3.59,0.0
20200729:1030,0.0,0.0,0.0,-0.05,21.49,3.66,0.0
20200729:1130,0.0,37.62,1.42,10.42,21.53,3.59,0.0
20200729:1230,76.43,72.03,7.1,21.39,22.27,3.31,0.0
20200729:1330,173.36,121.24,10.59,32.58,23.54,3.86,0.0
20200729:1430,262.76,136.68,12.91,43.64,24.6,4.34,0.0
20200729:1530,364.3,162.42,16.09,54.03,25.61,4.48,0.0
20200729:1630,432.32,193.94,18.58,62.61,26.83,4.97,0.0
20200729:1730,495.22,208.71,20.62,67.01,27.81,5.38,0.0
20200729:1830,462.05,158.82,18.28,64.84,28.44,5.59,0.0
20200729:1930,542.92,135.45,20.31,57.42,28.71,4.55,0.0
20200729:2030,406.43,125.39,16.72,47.5,29.81,4.97,0.0
20200729:2130,229.7,105.35,11.55,36.6,30.13,5.93,0.0
20200729:2230,95.67,77.76,7.17,25.41,28.59,5.31,0.0
20200729:2330,10.0,33.07,4.21,14.33,27.92,3.52,0.0
20200730:0030,0.0,10.43,0.39,3.47,27.13,3.1,0.0
20200730:0130,0.0,0.0,0.0,0.0,25.97,2.62,0.0
20200730:0230,0.0,0.0,0.0,0.0,24.97,2.62,0.0
20200730:0330,0.0,0.0,0.0,0.0,24.63,2.83,0.0
20200730:0430,0.0,0.0,0.0,0.0,24.15,2.48,0.0
20200730:0530,0.0,0.0,0.0,0.0,23.73,2.55,0.0
20200730:0630,0.0,0.0,0.0,0.0,23.24,2.62,0.0
20200730:0730,0.0,0.0,0.0,0.0,22.97,2.41,0.0
20200730:0830,0.0,0.0,0.0,0.0,22.5,2.34,0.0
20200730:0930,0.0,0.0,0.0,0.0,22.16,2.28,0.0
20200730:1030,0.0,0.0,0.0,-0.22,21.91,2.0,0.0
20200730:1130,0.0,41.81,1.58,10.27,21.74,1.79,0.0
20200730:1230,0.66,86.35,3.01,21.25,22.06,1.72,0.0
20200730:1330,11.51,127.93,4.81,32.44,22.63,2.14,0.0
20200730:1430,23.32,187.33,7.14,43.49,23.22,2.55,0.0
20200730:1530,74.18,179.88,8.27,53.86,23.95,2.97,0.0
20200730:1630,112.75,231.76,10.96,62.41,24.35,3.24,0.0
20200730:1730,148.36,344.99,15.57,66.78,24.93,3.38,0.0
20200730:1830,352.19,304.18,19.61,64.62,25.53,3.52,0.0
20200730:1930,160.36,294.58,14.36,57.23,26.38,3.31,0.0
20200730:2030,188.26,262.79,14.39,47.33,26.26,3.66,0.0
20200730:2130,91.06,210.57,10.23,36.45,26.22,3.86,0.0
20200730:2230,32.48,135.9,6.18,25.26,25.8,3.79,0.0
20200730:2330,0.13,71.8,2.51,14.17,25.31,3.66,0.0
20200731:0030,0.0,13.3,0.5,3.3,24.64,3.31,0.0
20200731:0130,0.0,0.0,0.0,0.0,23.91,3.66,0.0
20200731:0230,0.0,0.0,0.0,0.0,23.4,4.41,0.0
20200731:0330,0.0,0.0,0.0,0.0,23.08,4.83,0.0
20200731:0430,0.0,0.0,0.0,0.0,22.55,4.69,0.0
20200731:0530,0.0,0.0,0.0,0.0,21.95,4.69,0.0
20200731:0630,0.0,0.0,0.0,0.0,21.19,4.76,0.0
20200731:0730,0.0,0.0,0.0,0.0,20.53,3.79,0.0
20200731:0830,0.0,0.0,0.0,0.0,19.84,3.86,0.0
20200731:0930,0.0,0.0,0.0,0.0,19.07,4.0,0.0
20200731:1030,0.0,0.0,0.0,-0.38,18.36,3.79,0.0
20200731:1130,0.0,33.05,1.25,10.11,18.0,3.45,0.0
20200731:1230,115.78,56.61,8.79,21.11,18.87,3.59,0.0
20200731:1330,227.93,119.67,12.47,32.3,20.32,4.07,0.0
20200731:1430,475.5,120.28,19.07,43.34,21.67,4.0,0.0
20200731:1530,549.31,173.02,21.72,53.69,23.13,3.93,0.0
20200731:1630,724.35,154.86,25.63,62.2,24.24,3.86,0.0
20200731:1730,758.24,164.89,26.61,66.54,25.36,3.66,0.0
20200731:1830,494.67,216.21,20.79,64.39,26.15,3.59,0.0
20200731:1930,329.17,196.02,15.85,57.03,26.48,3.59,0.0
20200731:2030,259.97,194.49,14.29,47.16,26.5,3.38,0.0
20200731:2130,182.16,133.44,10.72,36.29,26.38,3.38,0.0
20200731:2230,122.23,98.05,9.04,25.1,26.0,3.31,0.0
20200731:2330,4.69,68.67,3.85,14.01,25.76,2.9,0.0
20200801:0030,0.0,15.55,0.59,3.12,25.03,1.93,0.0
20200801:0130,0.0,0.0,0.0,0.0,24.0,1.72,0.0
20200801:0230,0.0,0.0,0.0,0.0,23.27,1.86,0.0
20200801:0330,0.0,0.0,0.0,0.0,22.6,2.41,0.0
20200801:0430,0.0,0.0,0.0,0.0,22.1,2.83,0.0
20200801:0530,0.0,0.0,0.0,0.0,21.81,3.03,0.0
20200801:0630,0.0,0.0,0.0,0.0,21.49,3.1,0.0
20200801:0730,0.0,0.0,0.0,0.0,21.46,2.76,0.0
20200801:0830,0.0,0.0,0.0,0.0,21.38,2.76,0.0
20200801:0930,0.0,0.0,0.0,0.0,21.26,2.76,0.0
20200801:1030,0.0,0.0,0.0,-0.54,21.08,2.9,0.0
20200801:1130,0.0,41.81,1.58,9.96,21.17,2.69,0.0
20200801:1230,6.86,80.78,3.17,20.96,21.91,2.34,0.0
20200801:1330,36.69,129.23,5.76,32.15,22.91,2.48,0.0
20200801:1430,128.77,154.59,9.22,43.19,23.97,2.9,0.0
20200801:1530,78.77,214.53,9.53,53.51,24.49,3.31,0.0
20200801:1630,38.55,198.97,7.86,61.99,24.35,3.17,0.0
20200801:1730,88.27,152.99,7.64,66.29,23.8,3.59,0.0
20200801:1830,152.29,226.98,11.8,64.15,23.26,3.59,0.0
20200801:1930,112.62,188.27,9.55,56.83,23.33,4.14,0.0
20200801:2030,14.35,123.18,4.66,46.99,23.13,4.07,0.0
20200801:2130,22.56,81.25,3.56,36.12,22.74,3.72,0.0
20200801:2230,20.17,75.63,3.52,24.94,22.04,3.38,0.0
20200801:2330,0.13,30.67,1.09,13.84,22.02,3.24,0.0
20200802:0030,0.0,5.93,0.22,2.94,21.95,3.24,0.0
20200802:0130,0.0,0.0,0.0,0.0,21.76,3.31,0.0
20200802:0230,0.0,0.0,0.0,0.0,21.73,3.1,0.0
20200802:0330,0.0,0.0,0.0,0.0,21.54,2.69,0.0
20200802:0430,0.0,0.0,0.0,0.0,21.23,2.55,0.0
20200802:0530,0.0,0.0,0.0,0.0,21.01,2.34,0.0
20200802:0630,0.0,0.0,0.0,0.0,21.01,2.41,0.0
20200802:0730,0.0,0.0,0.0,0.0,20.54,1.52,0.0
20200802:0830,0.0,0.0,0.0,0.0,20.42,1.31,0.0
20200802:0930,0.0,0.0,0.0,0.0,20.22,1.52,0.0
20200802:1030,0.0,0.0,0.0,-0.71,20.14,1.59,0.0
20200802:1130,0.0,8.57,0.32,9.81,20.1,1.52,0.0
20200802:1230,2.71,30.7,1.21,20.82,20.18,1.93,0.0
20200802:1330,0.71,33.86,1.19,32.01,20.3,3.03,0.0
20200802:1430,4.33,59.79,2.19,43.03,20.23,4.21,0.0
20200802:1530,0.0,99.56,3.42,53.34,20.23,4.83,0.0
20200802:1630,0.0,92.22,3.17,61.77,20.16,5.38,0.0
20200802:1730,0.2,115.51,3.97,66.04,20.18,5.03,0.0
20200802:1830,0.56,118.17,4.07,63.91,20.3,4.76,0.0
20200802:1930,17.17,120.55,4.62,56.63,20.27,4.9,0.0
20200802:2030,38.32,125.04,5.43,46.8,20.84,4.55,0.0
20200802:2130,2.99,111.45,3.93,35.95,21.43,4.28,0.0
20200802:2230,18.1,87.55,3.83,24.77,21.76,3.93,0.0
20200802:2330,4.82,44.21,2.93,13.67,22.22,3.52,0.0
20200803:0030,0.0,9.15,0.35,2.75,22.21,2.48,0.0
20200803:0130,0.0,0.0,0.0,0.0,21.36,2.14,0.0
20200803:0230,0.0,0.0,0.0,0.0,20.58,1.93,0.0
20200803:0330,0.0,0.0,0.0,0.0,19.85,1.72,0.0
20200803:0430,0.0,0.0,0.0,0.0,19.08,1.31,0.0
20200803:0530,0.0,0.0,0.0,0.0,18.94,1.72,0.0
20200803:0630,0.0,0.0,0.0,0.0,18.85,1.93,0.0
20200803:0730,0.0,0.0,0.0,0.0,19.07,2.48,0.0
20200803:0830,0.0,0.0,0.0,0.0,18.91,2.34,0.0
20200803:0930,0.0,0.0,0.0,0.0,18.73,2.14,0.0
20200803:1030,0.0,0.0,0.0,-0.88,18.45,2.21,0.0
20200803:1130,0.0,31.88,1.2,9.65,18.25,2.41,0.0
20200803:1230,92.62,62.6,7.43,20.67,19.07,2.62,0.0
20200803:1330,277.21,88.93,13.08,31.86,20.72,3.1,0.0
20200803:1430,426.95,111.75,17.02,42.88,22.36,3.24,0.0
20200803:1530,587.63,133.89,21.46,53.16,23.61,3.31,0.0
20200803:1630,669.72,174.68,24.37,61.56,24.79,3.45,0.0
20200803:1730,559.6,194.58,21.67,65.78,25.63,3.59,0.0
20200803:1830,258.57,301.94,16.92,63.67,26.16,3.66,0.0
20200803:1930,334.27,252.66,17.6,56.41,25.61,3.45,0.0
20200803:2030,411.67,171.6,17.95,46.62,25.66,3.45,0.0
20200803:2130,220.32,136.06,11.96,35.78,25.62,3.17,0.0
20200803:2230,31.62,107.27,5.1,24.6,25.14,2.69,0.0
20200803:2330,3.03,56.91,2.85,13.49,24.56,1.86,0.0
20200804:0030,0.0,8.69,0.33,2.56,23.78,1.72,0.0
20200804:0130,0.0,0.0,0.0,0.0,22.72,1.79,0.0
20200804:0230,0.0,0.0,0.0,0.0,21.75,1.59,0.0
20200804:0330,0.0,0.0,0.0,0.0,20.96,1.79,0.0
20200804:0430,0.0,0.0,0.0,0.0,20.4,2.41,0.0
20200804:0530,0.0,0.0,0.0,0.0,19.9,2.9,0.0
20200804:0630,0.0,0.0,0.0,0.0,19.31,3.31,0.0
20200804:0730,0.0,0.0,0.0,0.0,19.46,3.59,0.0
20200804:0830,0.0,0.0,0.0,0.0,19.23,3.31,0.0
20200804:0930,0.0,0.0,0.0,0.0,18.72,3.59,0.0
20200804:1030,0.0,0.0,0.0,-1.05,18.45,3.86,0.0
20200804:1130,0.0,30.22,1.14,9.5,18.18,3.93,0.0
20200804:1230,2.4,92.12,3.3,20.52,18.21,4.21,0.0
20200804:1330,39.34,164.07,7.0,31.71,18.47,4.21,0.0
20200804:1430,92.9,210.72,9.93,42.72,19.33,4.48,0.0
20200804:1530,289.82,235.8,15.93,52.98,20.21,4.0,0.0
20200804:1630,537.2,205.68,21.49,61.33,20.87,3.86,0.0
20200804:1730,409.29,216.0,18.16,65.52,21.68,3.86,0.0
20200804:1830,255.23,277.7,16.04,63.42,21.86,4.0,0.0
20200804:1930,442.86,171.29,18.1,56.2,21.39,4.28,0.0
20200804:2030,471.49,106.94,17.75,46.42,21.91,4.41,0.0
20200804:2130,268.27,109.9,12.69,35.59,22.38,4.41,0.0
20200804:2230,124.98,62.33,7.73,24.42,22.29,4.41,0.0
20200804:2330,7.33,33.72,3.22,13.3,21.77,4.14,0.0
20200805:0030,0.0,7.76,0.29,2.36,21.22,3.17,0.0
20200805:0130,0.0,0.0,0.0,0.0,20.16,2.55,0.0
20200805:0230,0.0,0.0,0.0,0.0,19.3,2.34,0.0
20200805:0330,0.0,0.0,0.0,0.0,18.5,2.07,0.0
20200805:0430,0.0,0.0,0.0,0.0,17.64,1.79,0.0
20200805:0530,0.0,0.0,0.0,0.0,16.65,1.59,0.0
20200805:0630,0.0,0.0,0.0,0.0,15.96,1.38,0.0
20200805:0730,0.0,0.0,0.0,0.0,15.37,2.21,0.0
20200805:0830,0.0,0.0,0.0,0.0,14.98,2.28,0.0
20200805:0930,0.0,0.0,0.0,0.0,14.63,2.55,0.0
20200805:1030,0.0,0.0,0.0,-1.22,14.31,2.48,0.0
20200805:1130,0.0,31.26,1.18,9.34,14.13,2.21,0.0
20200805:1230,117.37,55.13,8.42,20.37,15.1,1.79,0.0
20200805:1330,320.14,78.76,14.16,31.56,16.99,1.79,0.0
20200805:1430,523.44,94.97,19.38,42.56,18.57,1.79,0.0
20200805:1530,639.09,131.56,22.72,52.79,19.89,1.86,0.0
20200805:1630,570.17,203.48,22.26,61.11,20.91,1.66,0.0
20200805:1730,559.63,183.45,21.21,65.26,21.67,1.66,0.0
20200805:1830,381.32,253.64,18.56,63.16,22.1,1.86,0.0
20200805:1930,341.77,249.94,17.62,55.97,22.43,1.45,0.0
20200805:2030,205.99,211.5,13.05,46.22,22.61,1.24,0.0
20200805:2130,128.49,181.39,10.32,35.41,22.62,1.31,0.0
20200805:2230,74.83,116.47,7.3,24.24,22.55,1.38,0.0
20200805:2330,4.75,53.71,3.22,13.12,22.45,1.45,0.0
20200806:0030,0.0,10.24,0.39,2.15,21.88,0.9,0.0
20200806:0130,0.0,0.0,0.0,0.0,21.05,0.55,0.0
20200806:0230,0.0,0.0,0.0,0.0,20.54,0.34,0.0
20200806:0330,0.0,0.0,0.0,0.0,19.21,0.9,0.0
20200806:0430,0.0,0.0,0.0,0.0,18.2,1.1,0.0
20200806:0530,0.0,0.0,0.0,0.0,17.66,1.17,0.0
20200806:0630,0.0,0.0,0.0,0.0,16.89,1.31,0.0
20200806:0730,0.0,0.0,0.0,0.0,17.67,0.76,0.0
20200806:0830,0.0,0.0,0.0,0.0,16.35,1.1,0.0
20200806:0930,0.0,0.0,0.0,0.0,15.95,1.38,0.0
20200806:1030,0.0,0.0,0.0,-1.39,15.87,1.24,0.0
